Name,Plx,Age,Age_lo1sig,Age_hi1sig,Age_lo2sig,Age_hi2sig
"HIP 69701 ",44.97,2.6,2.54,2.83,2.32,2.89
"HIP 70319 ",58.17,9.11,7.4,10.68,5.6,12.17
"HIP 62607 ",30.71,,9.84,14.02,6.89,14.55
"HIP 66860 ",27.44,2.0,1.64,2.47,1.02,2.9
"HIP 64150 ",38.27,7.14,5.85,8.46,4.5,9.7
"HIP 64792 ",56.95,4.27,3.93,5.48,3.42,6.3
"HIP 50671 ",30.55,7.44,5.51,8.3,4.04,9.59
"HIP 51933 ",39.88,5.6,5.5,6.36,4.91,6.64
"HIP 51784 ",28.69,4.51,3.7,5.26,3.09,6.03
"HIP 54582 ",31.09,9.01,8.28,9.95,7.46,10.57
"HIP 57757 ",91.5,3.5,3.38,4.76,3.13,5.06
"HIP 49756 ",28.62,4.38,3.31,6.2,1.79,7.39
"HIP 59589 ",29.02,9.23,8.15,10.79,6.7,12.06
"HIP 64797 ",90.32,7.18,2.91,11.2,0.93,13.98
"HIP 64426 ",25.87,12.15,11.45,13.56,10.46,14.45
"HIP 64241 ",56.1,3.75,2.89,4.0,2.57,4.36
"HIP 56186 ",25.03,4.66,3.66,5.9,2.67,6.9
"HIP 56997 ",104.04,2.15,1.77,5.76,0.0,7.96
"HIP 57939 ",109.99,13.88,6.44,13.48,2.96,14.46
