HIP,Age,Age_lolim,Age_hilim
92532,10.2,2.33,1.79
91120,3.5,0.18,0.89
89282,4.26,1.95,1.71
89474,7.39,0.6,1.82
94755,3.28,0.44,0.42
94336,8.95,1.14,1.59
96895,7.83,1.06,1.12
96901,8.78,1.8,0.85
96258,2.69,1.1,0.33
96395,6.03,2.98,0.67
90542,8.78,0.62,1.01
89443,8.58,1.83,1.96
89348,2.56,0.19,0.24
104520,5.1,0.5,0.38
105969,9.08,1.02,1.42
109572,2.44,0.38,0.42
111431,2.68,0.37,0.29
111977,8.67,2.05,3.14
113989,,,
115604,7.66,2.41,0.55
109324,4.1,0.55,0.48
109384,8.67,4.65,3.6
98946,1.9,0.11,0.21
96049,9.4,0.61,0.74
99500,2.45,0.33,0.44
100017,4.81,1.93,1.2
93269,12.8,2.33,1.19
93062,4.45,0.48,0.42
91395,11.32,0.77,0.5
96100,3.0,0.6,0.6
89937,7.71,0.57,1.06
105766,,,
107236,13.14,7.88,0.16
110016,6.11,0.71,0.67
111549,13.84,1.87,0.57
112666,,,
108456,2.99,1.66,1.87
950,2.13,0.66,0.54
116763,7.23,3.83,4.17
116852,6.12,1.28,0.5
118319,3.45,0.18,1.08
3479,7.23,2.88,2.81
4195,6.43,2.0,3.11
2909,10.85,0.91,1.07
5775,10.16,3.95,1.62
2337,1.89,0.26,0.29
3559,7.87,0.33,0.35
113579,2.41,1.25,1.89
113948,4.26,1.16,1.33
112504,6.82,1.77,2.04
114962,12.91,1.55,1.01
910,5.65,0.41,0.53
1803,0.4,0.1,0.1
3026,10.16,3.01,1.15
1128,13.14,4.17,0.66
1499,5.63,0.86,2.04
118115,6.87,1.71,1.42
116906,8.51,1.53,1.19
6455,4.03,1.97,2.57
8102,5.6,1.2,1.2
8841,11.65,3.64,0.6
8486,0.6,0.1,0.1
10215,2.05,0.22,0.1
6159,13.14,4.5,0.3
4909,6.82,3.01,1.61
3909,1.72,0.41,1.17
5799,,,
7276,5.5,1.14,0.06
10303,7.54,3.45,1.0
10305,3.13,0.32,0.41
10449,13.14,5.06,0.53
12048,7.49,0.59,0.56
12294,8.67,4.45,1.01
8720,,,
8798,11.17,1.41,1.35
7357,5.94,1.17,0.72
9353,2.7,0.23,0.5
9519,3.51,1.84,1.51
10212,2.77,0.42,0.49
3441,11.51,1.6,1.32
2350,4.94,2.34,5.82
5833,2.58,0.45,0.43
6762,3.45,1.44,4.34
5163,13.14,3.17,0.61
5134,6.35,3.65,2.06
2787,0.3,0.1,0.1
3086,8.6,0.83,0.22
3765,4.3,0.9,0.9
7312,4.38,0.6,0.92
6407,6.71,3.38,1.13
8859,4.35,0.71,0.39
9080,6.43,3.02,5.86
5176,3.4,1.84,1.12
7585,5.77,2.45,1.02
7535,,,
109624,1.93,0.21,0.23
110187,3.93,1.9,0.75
109951,13.14,4.93,0.55
109378,9.91,3.57,0.39
109646,11.26,2.2,1.25
109110,0.7,0.1,0.1
116106,3.39,1.21,1.27
115220,4.55,0.63,0.3
113896,5.6,1.5,0.9
114914,7.87,1.88,1.78
115012,8.63,0.85,1.25
118159,5.77,3.49,0.96
113421,4.71,1.22,0.97
112811,,,
114354,5.7,0.14,0.91
113980,3.31,0.6,0.29
105864,2.04,0.19,0.19
112229,8.84,1.33,1.11
111517,6.85,0.7,2.77
109771,7.3,0.44,0.74
112935,3.54,0.41,0.4
113514,12.45,2.97,1.17
112447,4.55,0.34,0.25
109608,3.61,0.66,1.23
110508,6.43,2.81,4.22
109067,8.67,5.2,3.62
111723,5.4,2.18,0.98
110205,8.84,1.38,2.82
110035,8.79,2.12,0.96
117776,6.6,0.56,0.51
118268,1.57,0.09,0.09
2235,0.8,0.3,0.3
116771,4.75,1.12,0.14
116164,2.63,0.4,0.42
348,7.66,2.33,2.35
2832,4.95,0.99,0.54
6405,6.9,2.32,2.05
3014,5.1,0.73,0.28
3272,5.05,0.45,1.26
493,5.77,2.0,1.13
768,7.98,0.75,0.85
996,6.83,1.47,1.61
1813,7.95,0.84,1.77
3502,8.31,1.96,0.75
3093,6.7,1.5,1.5
4290,4.9,2.55,1.94
115359,,,
114893,7.66,0.76,0.98
116478,11.65,3.0,0.97
115100,6.08,0.55,0.87
115370,6.79,1.48,0.77
114096,,,
114034,4.0,0.19,0.54
113357,5.2,0.38,2.29
117484,3.5,0.4,0.55
171,6.3,1.4,1.4
544,0.2,0.1,0.1
116421,11.85,1.09,0.74
116505,2.23,0.24,0.23
118225,7.46,0.44,0.81
394,5.0,1.03,2.29
699,5.5,1.07,0.29
117762,4.33,0.23,0.23
27491,8.67,3.25,2.59
26737,8.8,2.71,1.8
26460,2.32,0.18,0.31
27128,13.24,1.51,0.6
29234,2.45,0.36,0.37
31540,8.36,2.04,1.16
33817,2.0,0.3,0.3
23889,4.35,1.08,0.15
27072,0.8,0.1,0.1
27075,2.77,1.21,1.5
26534,6.51,0.3,0.72
25670,4.23,1.76,2.41
22905,8.3,1.76,2.04
22263,0.4,0.1,0.1
22325,2.9,0.39,0.49
25002,6.51,2.5,1.85
25528,2.91,0.42,0.23
28336,6.43,2.81,3.43
28103,1.26,0.27,0.24
25840,5.52,1.28,0.52
27435,7.5,2.96,1.58
36512,7.23,1.78,2.5
35998,2.8,0.34,0.23
38747,1.38,0.53,2.11
34710,4.95,0.4,0.39
36640,8.65,0.54,0.49
36399,3.09,1.03,0.21
37233,9.89,0.13,1.15
37349,,,
40765,3.54,1.99,2.04
40613,11.48,0.94,0.97
42612,8.25,1.53,0.2
42030,7.46,0.74,0.64
40858,4.7,1.1,0.01
39417,6.35,1.02,2.14
38853,5.56,2.34,1.12
40136,6.68,0.66,0.85
33719,4.02,0.79,0.29
32984,7.92,4.45,4.1
31188,9.45,1.99,2.36
32851,2.85,0.46,0.15
33382,9.01,2.02,1.96
34164,8.59,1.33,3.93
30545,0.8,0.1,0.1
30243,3.74,1.66,1.53
29716,3.25,0.37,0.42
31246,,,
32650,11.56,1.06,1.14
37279,1.9,0.21,0.11
35185,4.95,2.12,2.04
39506,,,
36849,10.81,1.62,1.3
20723,6.61,1.1,2.23
22439,5.93,0.51,0.55
23627,9.79,0.93,0.48
22336,5.5,1.07,0.41
19849,3.2,1.3,1.3
21172,10.61,1.55,2.12
19832,,,
20984,10.96,1.6,1.23
20752,2.99,1.42,1.18
24037,13.15,4.29,0.62
25623,,,
23311,4.5,0.6,0.6
23941,3.44,0.54,0.49
27980,5.33,2.21,1.41
27253,3.77,0.04,0.36
26617,,,
24205,,,
24030,10.16,3.25,1.75
17147,12.85,1.18,1.34
19925,2.77,1.22,2.47
18859,2.65,0.68,0.77
18261,4.9,1.97,1.45
18993,2.81,0.37,0.44
15442,8.67,3.3,1.47
16852,6.0,0.67,0.06
14954,3.4,0.24,1.14
15126,,,
15457,0.5,0.1,0.1
16723,4.7,0.92,0.32
22449,2.0,0.54,0.19
19911,6.43,3.19,3.21
21306,11.65,7.73,0.15
21703,8.67,3.58,2.83
22203,2.91,1.29,2.56
20741,3.22,1.66,1.97
20719,2.99,1.56,1.87
20441,3.45,1.73,2.36
29432,4.46,1.97,2.05
30905,11.65,4.19,1.5
29525,0.4,0.1,0.1
26664,6.43,2.58,4.46
27878,7.56,0.69,0.96
28066,11.07,1.75,0.64
28159,12.41,1.12,0.96
29001,4.95,1.78,1.41
34511,7.52,1.81,1.66
34653,14.32,2.09,0.07
30067,8.15,1.87,1.12
29248,6.43,2.95,2.96
29650,0.4,0.08,1.22
28671,,,
33212,2.91,1.29,1.42
33595,4.13,0.37,0.15
25860,8.67,3.6,2.99
25220,,,
26100,6.35,0.55,0.51
27913,0.3,0.1,0.1
25278,0.3,0.1,0.1
26381,13.14,5.4,0.51
26828,3.2,0.05,1.16
23835,10.1,0.53,0.3
22349,12.43,1.7,0.91
21818,,,
25730,1.68,0.19,0.13
25361,,,
26326,5.63,0.99,1.07
28908,8.77,0.99,0.79
27207,,,
59021,4.05,0.41,0.3
56452,7.92,4.2,3.94
57841,3.3,0.15,1.11
57507,12.5,4.73,0.9
57001,5.16,0.29,0.28
58962,11.65,8.43,0.47
58345,,,
59707,4.94,2.55,3.14
59143,5.79,1.38,0.46
58229,7.04,1.61,1.33
64924,4.2,0.7,0.7
62882,9.78,1.95,2.19
64407,2.55,0.22,0.27
60653,13.02,1.87,0.88
61910,1.11,0.12,0.13
62345,5.03,1.05,2.3
55409,4.9,1.52,2.83
53252,2.2,0.19,0.18
52990,6.46,1.39,0.46
55874,1.74,0.2,0.25
59357,5.31,2.69,2.55
58576,6.71,2.52,1.96
60816,3.88,1.27,1.47
59750,1.8,0.5,0.5
60019,6.1,0.29,0.49
56802,4.45,0.94,0.32
56960,1.64,0.76,1.17
58331,3.9,0.26,0.12
64993,2.58,1.24,2.45
64497,3.7,1.87,2.05
63366,13.14,6.91,0.37
65982,14.48,2.09,0.07
65708,9.93,1.04,0.55
69701,,,
68380,2.06,0.37,0.32
69493,2.06,0.28,0.4
72339,6.43,2.84,4.25
70319,10.35,2.76,1.86
69390,5.56,0.98,0.74
62421,2.27,0.21,0.2
60956,,,
62039,8.99,2.61,0.87
61941,1.5,0.17,0.15
64457,,,
64103,4.94,2.35,4.5
60081,5.14,1.4,0.67
62607,13.15,4.54,0.62
62307,6.02,1.05,0.48
62240,9.41,1.9,1.35
63354,5.04,2.22,1.01
67246,7.11,1.39,0.35
68682,8.67,3.4,2.95
66860,2.0,0.36,0.47
64150,7.77,1.99,1.15
