Age,Name,SimbadName,RAJ2000,DEJ2000
5000,G127-35,G127-35,337.19175,18.93145
5000,LP876-34,LP876-34,338.50173,-25.24301
5000,EZ Aqr,EZ Aqr,339.6452,-15.2948
5000,G156-37,G156-37,340.30825,-10.74647
5000,LHS528,LHS528,340.66373,17.67024
5000,GJ4292,GJ4292,340.8472,22.13833
23,WW PsA,WW PsA,341.24196,-33.25071
5000,NLTT54721,NLTT54721,341.25063,-33.2574
40,22463471-7353504,2MASS J22463471-7353504,341.64504,-73.89747
5000,LHS3854,LHS3854,341.97626,31.8713
5000,NLTT54872,NLTT54872,342.01934,-24.3691
5000,LHS3856,LHS3856,342.09469,12.53621
5000,HD216133,HD216133,342.58073,-7.0899
5000,LHS3859,LHS3859,342.65909,34.85668
5000,LP344-47,LP344-47,342.68995,28.60228
300,GT Peg,GT Peg,342.97426,31.75411
5000,LP401-10,LP401-10,343.54708,25.4659
5000,Gl877,Gl877,343.93166,-75.46073
5000,Gl880,Gl880,344.14292,16.55288
5000,GJ4326,GJ4326,349.36772,19.61285
5000,GJ1289,GJ1289,355.77848,36.53673
5000,BR Psc,BR Psc,357.30414,2.39934
5000,HD223889,HD223889,358.4607,-75.63326
