Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
V* AK Lep,"38392  ",,,5.36,2.64,3.63,4.63,2.72,4.06
gam Lep,"38393  ",27072,8.9,1.58,2.13,1.5,1.5,0.63,1.68
HR 1980,"38382  ",27075,25.5,3.51,3.9,1.7,3.09,2.2,3.05
HD 38230,"38230  ",27207,21.9,10.17,,6.0,,4.17,8.09
HD 38529,"38529  ",27253,39.3,3.16,3.75,,2.5,1.25,3.14
HD 38700,"38700  ",27260,62.2,4.62,2.97,1.73,2.86,2.88,3.05
HD 38858,"38858  ",27435,15.2,10.24,6.19,7.0,9.23,4.05,8.16
chi01 Ori,"39587  ",27913,8.7,7.13,6.02,4.0,5.0,3.13,5.54
LP 837-53,"       ",28035,14.6,,,,,,
HD 39881,"39881  ",28066,26.6,7.23,9.5,,,2.27,8.36
HD 40512,"40512  ",28356,68.0,1.42,1.25,1.71,1.33,0.47,1.43
HD 40616,"40616  ",28428,55.2,10.38,9.9,8.67,9.72,1.72,9.67
HD 40979,"40979  ",28767,33.1,2.51,1.43,2.25,1.5,1.08,1.92
HD 41330,"41330  ",28908,25.6,8.11,12.5,11.0,11.75,4.39,10.84
V* V1386 Ori,"41593  ",28954,15.3,,0.65,10.5,,9.85,5.58
HD 41708,"41708  ",29074,42.8,7.35,3.13,2.61,4.79,4.74,4.47
HD 42618,"42618  ",29432,23.5,10.99,2.4,6.5,9.1,8.59,7.25
HR 2208,"42807  ",29525,18.0,6.42,10.0,2.33,3.28,7.67,5.51
HD 43162,"43162  ",29568,16.7,10.99,0.68,6.5,9.75,10.31,6.98
HD 42983,"42983  ",29573,58.0,5.01,8.25,6.5,8.4,3.39,7.04
71 Ori,"43042  ",29650,20.8,0.81,1.34,1.2,1.15,0.54,1.13
HD 43318,"43318  ",29716,37.2,3.57,4.5,,3.83,0.93,3.97
HD 42250,"42250  ",29761,25.7,4.76,9.25,2.91,8.32,6.34,6.31
HD 43745,"43745  ",29843,40.3,4.05,5.13,,3.75,1.38,4.31
HD 43587,"43587  ",29860,19.2,2.51,7.5,,9.5,6.99,6.5
HD 43856,"43856  ",29991,69.4,2.95,7.44,1.8,5.69,5.64,4.47
HD 45184,"45184  ",30503,21.9,4.5,3.38,5.33,3.82,1.96,4.26
HD 44966,"44966  ",30513,47.2,,6.63,1.63,1.57,5.06,3.28
HD 45067,"45067  ",30545,33.6,,7.63,4.0,6.0,3.63,5.88
HD 45088,"45088  ",30630,14.7,,,,,,
HD 45282,"45282  ",30668,148.8,4.25,7.1,7.27,3.83,3.44,5.61
HD 45588,"45588  ",30711,29.9,1.26,3.25,1.8,2.5,1.99,2.2
HD 45350,"45350  ",30860,48.9,6.31,,8.0,11.5,5.19,8.6
HD 45759,"45759  ",30939,47.9,2.03,4.16,2.38,2.3,2.13,2.72
HD 45205,"45205  ",30990,73.2,11.49,12.0,11.5,12.0,0.51,11.75
HD 46090,"46090  ",31083,27.8,12.02,10.75,6.5,,5.52,9.76
HD 46301,"46301  ",31197,107.6,1.77,2.61,2.33,1.88,0.85,2.14
HD 46375,"46375A ",31246,34.8,,,10.33,,0.0,10.33
HD 46780,"46780  ",31568,33.1,7.94,8.5,4.0,8.0,4.5,7.11
HD 47157,"47157  ",31655,37.1,2.1,2.68,2.11,6.76,4.66,3.41
HD 47127,"47127  ",31660,26.9,5.01,8.88,7.0,10.33,5.32,7.81
HD 47309,"47309  ",31965,40.3,1.84,4.66,2.13,5.98,4.14,3.65
HD 47752,"47752  ",32010,17.4,5.36,2.63,7.16,5.29,4.52,5.11
HD 48938,"48938  ",32322,27.1,3.57,4.9,3.0,9.17,6.17,5.16
HD 48565,"48565  ",32329,49.3,10.72,7.75,8.0,8.75,2.97,8.8
HD 46588,"46588  ",32439,17.9,0.92,2.33,1.42,2.42,1.5,1.77
psi05 Aur,"48682  ",32480,16.7,3.16,3.96,1.55,2.63,2.41,2.82
HD 49385,"49385  ",32608,71.9,4.05,4.54,3.83,3.61,0.92,4.01
HD 49674,"49674  ",32916,44.2,8.34,3.5,3.82,7.32,4.84,5.75
