recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
393,GL 144,5077,35,0.735,0.005,4.61,0.02,-0.06,0.1,0.8,0.03,9.37,0.39,310.8,3.7,"E,2",1,53.23269,-9.45826
394,GL 338B,3867,37,0.567,0.014,4.71,0.02,-0.15,0.1,0.57,0.02,9.82,0.5,159.0,7.7,"E,1",0,138.60283,52.68637
395,GL 412A,3497,39,0.398,0.009,4.87,0.02,-0.4,0.1,0.41,0.02,9.73,0.52,206.9,8.8,"E,2",1,166.36907,43.52678
396,GL 570B,4507,58,0.739,0.019,4.6,0.03,0.02,0.1,0.73,0.03,10.0,0.48,133.6,5.7,"E,2",0,224.36056,-21.41155
397,GL 687,3413,28,0.418,0.007,4.85,0.01,-0.09,0.1,0.43,0.01,9.59,0.52,220.0,9.2,"E,1",1,264.10791,68.33914
398,GL 699,3222,10,0.187,0.001,5.11,0.01,-0.39,0.1,0.16,0.0,9.61,0.54,549.0,9.5,"E,2",0,269.45207,4.69339
399,GL 702A,5407,52,0.831,0.004,4.56,0.02,0.03,0.1,0.92,0.03,9.3,0.35,,4.1,"E,3",1,271.36405,2.49981
400,GL 702B,4393,149,0.67,0.009,4.64,0.02,0.03,0.1,0.71,0.03,9.61,0.52,,7.2,"E,3",0,271.36425,2.49901
401,GL 876,3129,19,0.376,0.006,4.88,0.01,0.19,0.1,0.35,0.01,10.09,0.41,214.1,10.2,"E,1",1,343.31972,-14.2637
402,HIP 57087,3416,53,0.455,0.018,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,"E,1",1,175.54622,26.70657
403,HIP 74995,3442,54,0.299,0.01,4.97,0.03,-0.1,0.1,0.3,0.02,9.61,0.53,158.6,10.6,"E,1",1,229.86176,-7.72228
404,HIP 83043,3590,45,0.539,0.016,4.75,0.02,-0.04,0.1,0.52,0.02,9.89,0.48,96.4,9.7,"E,1",1,254.53687,25.74416
