recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
718,83707,0.64,8.6,0.176,0.004,-4.9,2.2,49.7,1.6,41.8,1.6,-26.4,1.0,-21.2,1.5,257.0,-48.0
712,82632,0.711,9.18,0.165,0.004,-4.99,2.1,-21.6,1.6,-39.6,2.8,-46.2,6.5,10.2,1.3,253.0,-46.0
699,81229,0.653,8.56,0.138,0.003,-5.16,3.0,-17.8,1.6,-33.3,2.7,-30.3,5.0,-24.3,3.2,249.0,-49.0
693,80680,0.56,7.69,0.157,0.004,-4.98,5.4,-2.1,1.8,3.1,1.6,12.8,0.9,-2.8,0.3,247.0,-46.0
705,81533,0.759,9.16,0.199,0.005,-4.86,2.7,-27.2,1.6,-34.9,1.9,-12.8,2.7,-28.2,3.2,250.0,-47.0
706,81533,0.759,9.16,0.21,0.005,-4.82,2.7,-27.2,1.6,-34.9,1.9,-12.8,2.7,-28.2,3.2,250.0,-47.0
697,80982,0.636,8.89,0.153,0.004,-5.04,2.8,-1.1,1.7,-10.2,1.8,-23.3,2.2,3.8,0.5,248.0,-44.0
721,85454,0.684,8.15,0.146,0.004,-5.1,3.2,23.8,1.7,5.8,2.5,-53.3,5.2,-23.4,2.4,262.0,-47.0
722,85747,0.556,7.93,0.151,0.004,-5.02,3.9,38.7,1.7,38.7,1.7,-6.9,0.4,12.3,1.1,263.0,-39.0
713,83001,0.59,8.77,0.171,0.004,-4.91,2.8,10.1,1.7,7.9,1.6,-10.5,0.9,30.5,3.0,254.0,-45.0
711,82613,0.586,8.67,0.203,0.004,-4.76,2.6,-16.1,1.7,-18.8,1.6,-5.3,1.2,11.1,1.1,253.0,-44.0
709,81845,0.891,8.15,0.134,0.003,-5.19,2.5,12.8,1.6,6.0,1.7,-18.1,1.6,26.8,2.7,251.0,-40.0
679,79240,0.66,8.97,0.145,0.004,-5.11,2.6,-1.7,1.6,-30.2,3.8,-57.2,7.2,0.5,0.5,243.0,-48.0
675,78408,0.78,7.52,0.132,0.003,-5.2,3.4,-24.4,1.7,-49.1,2.2,-44.9,3.4,0.3,0.3,240.0,-45.0
683,80064,0.87,9.4,0.346,0.007,-4.62,1.6,8.3,1.6,-8.3,2.6,-40.0,5.0,-5.3,0.9,245.0,-46.0
684,80064,0.87,9.4,0.364,0.007,-4.6,1.6,8.3,1.6,-8.3,2.6,-40.0,5.0,-5.3,0.9,245.0,-46.0
676,78521,0.773,9.2,0.145,0.004,-5.12,0.9,-0.7,1.6,-24.4,2.3,-49.5,3.8,3.7,0.4,240.0,-44.0
694,80759,0.522,9.28,0.26,0.005,-4.55,11.5,-36.3,2.1,-41.4,2.2,-8.4,2.7,-3.7,0.5,247.0,-42.0
