recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
649,220476,0.682,5,0.367,-4.42,7,8.54,6.1,17.9,1,"HD 220476 ",351.0264,-7.55076
647,220256,0.853,4,0.184,-4.96,45,9.77,2.2,2.1,0,"HD 220256 ",350.59909,-0.41486
160,38554,0.704,8,0.175,-4.93,31,9.73,2.2,2.1,0,"HD 38554  ",86.25099,-35.79812
170,42044,0.543,5,0.117,-5.43,,10.28,1.8,2.6,0,"HD 42044  ",91.78241,-31.89745
173,43197,0.817,7,0.146,-5.11,,9.91,2.1,2.1,0,"HD 43197  ",93.39859,-29.89727
163,39503,0.732,5,0.16,-5.02,,9.85,2.1,2.1,0,"HD 39503  ",87.93286,-30.46584
159,38467,0.672,6,0.145,-5.1,,9.9,2.2,2.2,1,"HD 38467  ",86.16399,-29.91667
186,47186,0.714,8,0.15,-5.08,,9.91,2.1,2.1,2,"HD 47186  ",99.03662,-27.6223
194,49866,0.663,2,0.157,-5.02,,9.85,2.4,4.3,0,"HD 49866  ",102.42951,-19.38379
174,43470,0.539,2,0.134,-5.18,,10.01,2.1,2.8,0,"HD 43470  ",93.91048,-19.80471
178,44569,0.619,10,0.157,-5.01,,9.83,2.5,2.5,0,"HD 44569  ",95.40562,-18.16668
191,48286,0.563,7,0.153,-5.01,,9.83,2.5,2.7,1,"HD 48286  ",100.52168,-15.21526
166,39855,0.7,9,0.173,-4.94,31,9.75,2.7,2.1,1,"HD 39855  ",88.62565,-19.70435
155,37986,0.801,8,0.151,-5.09,,9.91,2.1,2.1,2,"HD 37986  ",85.47369,-15.63054
150,35041,0.636,9,0.304,-4.5,8,8.78,5.0,15.3,1,"HD 35041  ",80.30399,-14.15245
143,33093,0.606,10,0.13,-5.23,,10.07,2.0,2.6,2,"HD 33093  ",76.85401,-12.49127
147,33693,0.472,15,0.137,-5.14,,9.95,2.1,3.0,0,"HD 33693  ",77.90487,-10.38719
161,38677,0.581,6,0.137,-5.16,,9.98,2.1,2.6,0,"HD 38677  ",86.77611,-10.63023
158,38277,0.637,7,0.139,-5.15,,9.97,2.1,2.4,1,"HD 38277  ",86.07332,-10.01673
151,36379,0.561,5,0.134,-5.19,,10.02,2.1,2.7,0,"HD 36379  ",82.74975,-10.08109
207,59711,0.637,6,0.156,-5.02,,9.84,2.4,2.4,1,"HD 59711  ",112.66672,-15.99459
214,64114,0.721,5,0.218,-4.77,25,9.45,2.4,4.2,1,"HD 64114  ",117.98286,-11.03297
213,62549,0.612,10,0.15,-5.05,,9.88,2.3,2.5,0,"HD 62549  ",116.08227,-5.05495
211,60779,0.564,10,0.149,-5.05,,9.87,2.4,2.7,0,"HD 60779  ",114.00596,-3.15177
206,58556,0.568,14,0.204,-4.74,11,9.39,3.3,7.2,0,"HD 58556  ",111.48841,-2.24847
221,69611,0.584,8,0.147,-5.06,,9.89,2.3,2.6,0,"HD 69611  ",124.37228,-3.98962
184,46872,0.536,2,0.205,-4.73,8,9.36,3.4,8.8,0,"HD 46872  ",98.89155,-3.98293
190,48056,0.576,2,0.16,-4.97,17,9.78,2.6,2.6,0,"HD 48056  ",100.34713,-2.35002
126,28185,0.75,12,0.154,-5.06,,9.88,2.1,2.1,2,"HD 28185  ",66.60968,-10.55081
139,32724,0.618,11,0.139,-5.14,,9.96,2.2,2.5,0,"HD 32724  ",76.19818,-11.69903
140,32842,0.492,7,0.179,-4.83,7,9.57,2.9,6.3,0,"HD 32842  ",76.42931,-9.43046
118,26040,0.576,4,0.152,-5.03,,9.85,2.4,2.6,0,"HD 26040  ",61.75233,-10.00045
127,28821,0.683,5,0.158,-5.02,,9.84,2.4,2.2,1,"HD 28821  ",68.08947,-5.039
130,29161,0.632,8,0.222,-4.71,15,9.32,3.6,6.7,0,"HD 29161  ",68.83984,-4.73611
122,27466,0.673,7,0.243,-4.67,17,9.23,3.9,7.0,2,"HD 27466  ",64.98782,-4.43876
149,34195,0.567,8,0.128,-5.26,,10.11,2.0,2.6,0,"HD 34195  ",78.84872,-3.36595
138,32564,0.741,5,0.15,-5.08,,9.91,2.1,2.1,0,"HD 32564  ",76.02602,-0.64905
312,103760,0.65,19,0.148,-5.08,,9.91,2.3,2.3,0,"HD 103760 ",179.21313,-38.84933
326,106937,0.762,8,0.141,-5.14,,9.95,2.1,2.6,0,"HD 106937 ",184.48698,-35.83171
311,103743,0.64,1,0.351,-4.42,6,8.53,5.8,21.3,1,"HD 103743 ",179.18233,-32.26742
320,105904,0.742,6,0.143,-5.13,,9.94,2.1,2.1,0,"HD 105904 ",182.84033,-32.63263
329,107352,0.571,1,0.212,-4.71,10,9.33,3.5,8.1,0,"HD 107352 ",185.13983,-30.4388
333,107956,0.475,1,0.202,-4.73,5,9.36,3.3,10.9,0,"HD 107956 ",186.09,-25.2112
317,104982,0.651,14,0.166,-4.96,26,9.77,2.6,2.3,1,"HD 104982 ",181.30587,-28.71723
349,111431,0.627,11,0.131,-5.23,,10.07,2.0,2.6,0,"HD 111431 ",192.35577,-25.2964
360,115106,0.66,1,0.134,-5.2,,10.04,2.0,2.6,0,"HD 115106 ",198.80577,-19.20494
362,116259,0.721,1,0.141,-5.14,,9.95,2.1,2.1,0,"HD 116259 ",200.6817,-18.03091
297,98649,0.658,5,0.154,-5.04,,9.86,2.4,2.3,0,"HD 98649  ",170.2157,-23.21734
296,98553,0.594,17,0.154,-5.02,,9.84,2.4,2.6,3,"HD 98553  ",170.04831,-19.5779
280,94482,0.562,15,0.138,-5.14,,9.96,2.2,2.7,1,"HD 94482  ",163.52727,-23.18485
278,94151,0.718,14,0.172,-4.95,33,9.76,2.2,2.1,2,"HD 94151  ",162.91346,-22.07183
279,94270,0.579,11,0.149,-5.05,,9.87,2.4,2.6,0,"HD 94270  ",163.16368,-17.03025
282,94838,0.635,10,0.214,-4.74,16,9.38,3.4,5.9,0,"HD 94838  ",164.191,-17.4522
298,98727,0.521,1,0.166,-4.91,10,9.7,2.7,4.0,0,"HD 98727  ",170.37904,-12.69859
323,106515A,0.815,7,0.156,-5.06,,9.89,2.1,2.6,0,HD 106515A,183.77735,-7.25732
324,106515B,0.815,8,0.161,-5.04,,9.87,2.1,2.1,0,HD 106515B,183.77695,-7.25747
304,101197,0.659,1,0.152,-5.05,,9.88,2.3,2.3,0,"HD 101197 ",174.65912,-11.23927
