recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
446,77622,HD 141795," ",kA2hA5mA7 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 77622,237.704,4.4777
442,77070,HD 140573," ",K2 III," ",4548,2.37," ",1.0,f,0.04," ",K,,,"  ",," ",,HIP 77070,236.067,6.4256
443,77257,HD 141004," ",G0 IV-V," ",5892,4.14," ",1.0,f,-0.01," "," ",0.154,-5.011,"I ",1.8," ",,HIP 77257,236.6109,7.3531
471,80644,HD 148467," ",K6 V,*,,," ",," ",," "," ",,,"  ",," ",92,HIP 80644,246.9871,7.3054
480,83000,HD 153210," ",K2 III," ",4564,2.5," ",1.0,f,0.16," ",K,,,"  ",," ",,HIP 83000,254.4171,9.375
465,79702,HD 146413," ",K4 V," ",,," ",," ",," "," ",0.638,-4.68,"A ",3.6," ",,HIP 79702,243.9877,7.3571
466,,BD+07 3125B," ",K5 V,*,,," ",," ",," "," ",0.919,,"  ",3.6," ",90,BD+07 3125B,243.975,7.3667
460,79492,HD 145958," ",G9 V," ",,," ",," ",," "," ",0.154,-5.059,"I ",3.6,*,88,HIP 79492,243.3269,13.5269
461,79492,BD+13 3091B," ",G8+ V," ",,," ",," ",," "," ",0.154,-5.059,"I ",3.6,*,,HIP 79492,243.3269,13.5269
472,80725,HD 148653," ",K2 V," ",,," ",," ",," "," ",0.313,-4.655,"A ",3.6," ",,HIP 80725,247.2194,18.4141
511,88601,HD 165341," ",K0- V,*,5019,4.03,f,1.0,f,-0.38," "," ",0.294,-4.698,"A ",3.6," ",98,HIP 88601,271.3637,2.5001
512,88622,HD 165401," ",G0 V," ",5798,4.27," ",1.0,f,-0.29," "," ",0.226,-4.668,"A ",1.8," ",,HIP 88622,271.4061,4.6572
501,87108,HD 161868," ",A1 Vn kA0mA0," ",8951,4.03," ",2.0,f,-0.81," ",*,,,"  ",," ",97,HIP 87108,266.9732,2.7073
500,86742,HD 161096," ",K2 III," ",4571,1.99," ",1.0,f,0.06," ",K,,,"  ",," ",,HIP 86742,265.8681,4.5673
520,90355,HD 169822," ",G6 V," ",5494,4.45," ",1.0,f,-0.15," "," ",0.162,-4.998,"I ",3.6," ",,HIP 90355,276.542,8.7776
513,88771,HD 165777," ",A5 V," ",8400,3.89," ",3.0," ",0.2," "," ",,,"  ",," ",,HIP 88771,271.8374,9.5638
505,87768,BD+18 3497," ",K5 V," ",,," ",," ",," "," ",1.234,-4.489,"A ",3.6," ",,HIP 87768,268.9371,18.5004
526,93509,HD 177082," ",G0 V," ",5733,4.25," ",1.0,f,-0.11," "," ",0.181,-4.872,"I ",1.8," ",,HIP 93509,285.6586,14.567
521,90864,HD 171067,*,G6 V," ",5589,4.52," ",1.0,f,-0.07," "," ",0.163,-4.99,"I ",3.6," ",,HIP 90864,278.0436,13.7366
529,93966,HD 178428," ",G5 IV-V," ",5588,4.01," ",1.0,f,0.14," "," ",0.149,-5.083,"I ",1.8," ",,HIP 93966,286.9888,16.8534
487,84195,HD 155712," ",K2.5 V," ",,," ",," ",," "," ",0.197,-4.988,"I ",3.6," ",,HIP 84195,258.1568,18.3512
498,86722,HD 161198," ",G9 V," ",5266,4.52," ",1.0,f,-0.55," "," ",0.148,-5.093,"I ",3.6," ",,HIP 86722,265.8152,21.6092
478,82389,HD 151995," ",K3.5 V," ",,," ",," ",," "," ",0.193,-5.083,"I ",3.6," ",,HIP 82389,252.522,18.9004
483,83343,BD+23 3035," ",K3 V," ",,," ",," ",," "," ",0.596,-4.541,"A ",3.6," ",,HIP 83343,255.4993,22.936
489,84379,HD 156164," ",A1 IVn," ",8879,3.47," ",2.0,f,-0.04," ",*,,,"  ",," ",96,HIP 84379,258.758,24.8392
491,84607,HD 156668," ",K3 V," ",,," ",," ",," "," ",0.169,-5.136,VI,3.6," ",,HIP 84607,259.4187,29.2272
503,87579,BD+21 3245," ",K2.5 V," ",,," ",," ",," "," ",0.496,-4.529,"A ",3.6," ",,HIP 87579,268.3747,21.3253
499,86731,HD 161239," ",G2 IV," ",5640,3.53," ",1.6," ",-0.12," "," ",,,"  ",," ",,HIP 86731,265.8399,24.3278
510,88348,HD 164922," ",G9 V," ",5349,4.39," ",1.0,f,0.0," "," ",0.141,-5.141,VI,3.6," ",,HIP 88348,270.6286,26.313
514,88945,HD 166435," ",G1 IV," ",5741,4.41," ",1.1," ",-0.07," "," ",0.49,-4.223,"A ",1.8," ",,HIP 88945,272.3391,29.9517
494,85582,BD+29 3029," ",K5 V," ",,," ",," ",," "," ",0.69,-4.678,"A ",3.6," ",,HIP 85582,262.3336,29.3919
