main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode,j,j_err,j_bibcode
BD+11  2576,202.4991070353161,10.3771624506149,,GJ   514,HIP  65859,,M1.0Ve,2013AJ....145..102L,131.2428,0.0543,2018yCat.1345....0G,9.029,,2010MNRAS.403.1949K,8.2062,7.0E-4,2018yCat.1345....0G,7.013,,2010MNRAS.403.1949K,8.07,,2010MNRAS.403.1949K,5.902,0.018,2003yCat.2246....0C
V* VX Ari,41.064622574499,25.5233658414412,,GJ   109,HIP  12781,,M3V,2002AJ....123.2002H,130.187,0.0605,2018yCat.1345....0G,10.563,,2010MNRAS.403.1949K,9.4605,8.0E-4,2018yCat.1345....0G,8.115,,2010MNRAS.403.1949K,9.49,,2010MNRAS.403.1949K,6.752,0.018,2003yCat.2246....0C
V* AN Sex,153.0736184829422,-3.7456649564991,,GJ   382,HIP  49986,,M2V,1991ApJS...77..417K,129.7887,0.0838,2018yCat.1345....0G,9.264,0.033,2012AcA....62...67K,8.3313,0.0013,2018yCat.1345....0G,7.066,0.015,2012AcA....62...67K,8.258,,2010MNRAS.403.1949K,5.888,0.021,2003yCat.2246....0C
HD 157881,261.4384679348621,2.1114232411388,HD 157881,GJ   673,HIP  85295,,K7V,2002AJ....123.2002H,129.6231,0.0286,2018yCat.1345....0G,7.56,0.05,2009ApJ...694.1085V,6.9265,4.0E-4,2018yCat.1345....0G,5.89,,2010MNRAS.403.1949K,6.649,,2010MNRAS.403.1949K,4.934,0.024,2003yCat.2246....0C
G 192-13,90.2960228415567,59.5971905180221,,GJ  3378,,,M4.0Ve,2013AJ....145..102L,129.4589,0.0799,2018yCat.1345....0G,11.71,,1995GCTP..C......0V,10.4084,7.0E-4,2018yCat.1345....0G,9.0,,2003AJ....125..984M,10.7,,2003AJ....125..984M,7.465,0.023,2003yCat.2246....0C
HD 165222,271.2815781443755,-3.0313203377846,HD 165222,GJ   701,HIP  88574,,M0V,2002AJ....123.2002H,129.3922,0.0613,2018yCat.1345....0G,9.36,,2010MNRAS.403.1949K,8.5167,7.0E-4,2018yCat.1345....0G,7.304,,2010MNRAS.403.1949K,8.385,,2010MNRAS.403.1949K,6.161,0.019,2003yCat.2246....0C
G 154-44,271.8868239655746,-15.963074116183888,,GJ  1224,,,M4.0Ve,2015AJ....149..106D,125.5872,0.0705,2018yCat.1345....0G,13.48,0.04,2014AJ....147...85R,11.878,8.0E-4,2018yCat.1345....0G,10.31,0.03,2014AJ....147...85R,12.08,0.02,2014AJ....147...85R,8.639,0.024,2003yCat.2246....0C
LP  399-68,190.1928731016858,-43.5663879864013,,"GJ  9415,GJ   480.1",HIP  61874,,M3V,2002AJ....123.2002H,124.2526,0.1039,2018yCat.1345....0G,12.239,,2010MNRAS.403.1949K,10.9788,0.0014,2018yCat.1345....0G,9.619,,2010MNRAS.403.1949K,11.075,,2010MNRAS.403.1949K,8.217,0.029,2003yCat.2246....0C
Wolf  437,191.9859372154997,9.7513977564889,,GJ   486,HIP  62452,,M3.5Ve,2013AJ....145..102L,123.8215,0.0623,2018yCat.1345....0G,11.395,,2010MNRAS.403.1949K,10.094,7.0E-4,2018yCat.1345....0G,8.707,,2010MNRAS.403.1949K,10.235,,2010MNRAS.403.1949K,7.195,0.026,2003yCat.2246....0C
G 262-15,307.6335229410969,65.449558362188,,GJ   793,HIP 101180,,M3V,1986AJ.....92..139S,123.7545,0.0219,2018yCat.1345....0G,10.68,0.06,2000A&A...355L..27H,9.4215,4.0E-4,2018yCat.1345....0G,9.5,,2003AJ....125..984M,10.124,0.01,2012yCat.1322....0Z,6.735,0.021,2003yCat.2246....0C
L  674-15,123.17036958601665,-21.551939548925,,GJ   300,,,M3.5V,2002AJ....123.2002H,123.2204,0.0667,2018yCat.1345....0G,12.131,0.01,2012yCat.1322....0Z,10.6654,7.0E-4,2018yCat.1345....0G,9.24,,2004AJ....128..463R,11.753,0.05,2012yCat.1322....0Z,7.601,0.02,2003yCat.2246....0C
BD+18  3421,264.4722780949373,18.5917113164897,,GJ   686,HIP  86287,,M1.5Ve,2013AJ....145..102L,122.5609,0.0346,2018yCat.1345....0G,9.577,,2010MNRAS.403.1949K,8.739,6.0E-4,2018yCat.1345....0G,7.525,,2010MNRAS.403.1949K,8.599,,2010MNRAS.403.1949K,6.36,0.023,2003yCat.2246....0C
G 227-29,275.61308900000006,62.05054199999999,,GJ  1227,,,M4.0V,2015A&A...577A.128A,121.5,2.2,1995GCTP..C......0V,13.4,,1995GCTP..C......0V,11.8207,8.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.2,,2003AJ....125..984M,8.64,0.032,2003yCat.2246....0C
