recno,Name,HIP,n_HIP,HD/DM,SpType,n_SpType,Teff,log(g),VTurb,[M/H],Note,Fit,SMW,logR,AC,n_AC,Obs,t5,SimbadName,_RA,_DE
144,HIP   8881,8881," ",11683,K2.5 V (k)," ",,,,," "," ",0.435,-4.53,"A "," ",SO," ",HIP   8881,28.59246,-15.72398
170,HIP  10542,10542," ",14001,K3+ V (k)," ",,,,," "," ",0.571,-4.59,"A "," ",SO," ",HIP  10542,33.94226,-18.23816
166,HIP  10312,10312," "," ",K9 V k," ",,,,," "," ",1.897,-4.736,"A "," ",SO," ",HIP  10312,33.21255,-17.68672
160,HIP  10037,10037," ",-17 400,K9 V (k)," ",,,,," "," ",1.122,-4.894,"I "," ",SO," ",HIP  10037,32.29542,-16.33959
190,HIP  11783,11783," ",15798,F5- V," ",6502,4.02,2.0,-0.19," "," ",0.197,-4.684,"A "," ",SO," ",HIP  11783,38.02179,-15.24467
189,HIP  11759,11759," ",15767,K2.5 V (k)," ",,,,," "," ",0.452,-4.573,"A "," ",SO," ",HIP  11759,37.92697,-15.27345
155,HIP   9692,9692," ",12754,F8.5 V," ",,,,," "," ",0.2,-4.751,"I "," ",SO," ",HIP   9692,31.16873,-16.28764
157,HIP   9716,9716," ",12786,G9.5 V (k)," ",5209,4.53,1.0,-0.03," "," ",0.391,-4.517,"A "," ",SO," ",HIP   9716,31.24719,-15.6781
232,HIP  14501,14501," ",19467,G1 V," ",5734,4.33,1.0,-0.1," "," ",0.164,-4.974,"I "," ",SO,S,HIP  14501,46.82739,-13.76178
214,HIP  13402,13402," ",17925,K1.5 V (k)," ",5056,4.48,1.0,0.08," "," ",0.578,-4.357,"A "," ",CTIO/SO," ",HIP  13402,43.13387,-12.76971
277,HIP  16537,16537," ",22049,K2 V (k)," ",4999,4.53,1.0,-0.15," "," ",0.371,-4.598,"A "," ",CTIO," ",HIP  16537,53.23269,-9.45826
248,HIP  15244,15244," ",20395,F5 V Fe-0.7 CH-0.5," ",6675,4.22,2.0,-0.2," "," ",0.282,-4.408,"A "," ",CTIO/SO," ",HIP  15244,49.14898,-9.15454
203,HIP  12390,12390," ",16620,F5 V," ",6516,4.02,2.0,-0.25," "," ",0.219,-4.606,"A "," ",SO," ",HIP  12390,39.89082,-11.8721
206,HIP  12444,12444," ",16673,F8 V Fe-0.4," ",6253,4.14,2.2,-0.2," "," ",0.282,-4.473,"A "," ",CTIO," ",HIP  12444,40.05176,-9.45287
216,HIP  13594,13594," ",18194,G9 V," ",5440,4.57,1.0,-0.24," "," ",0.184,-4.903,"I "," ",CTIO," ",HIP  13594,43.78874,-7.99593
504,HIP  32500,32500," ",58805,F5.5 V Fe-1.0 CH-0.6," ",6556,4.23,1.9,-0.36," "," ",0.328,-4.33,"A "," ",CTIO," ",HIP  32500,101.74407,-87.02496
563,HIP  37284,37284," ",63454,K3 V (k)," ",,,,," "," ",0.622,-4.522,"A "," ",CTIO," ",HIP  37284,114.84106,-78.27897
601,HIP  40702,40702," ",71243,F5 V Fe-0.8," ",6625,3.96,2.0,-0.26," "," ",0.297,-4.376,"A "," ",CTIO," ",HIP  40702,124.63147,-76.91972
619,HIP  41871,41871," ",73744,G5 V Fe-1.3 CH-0.9," ",5834,4.47,1.0,-0.44," "," ",0.186,-4.834,"I "," ",CTIO," ",HIP  41871,128.06491,-76.9288
532,HIP  35091,35091," ",58160,K2 V," ",,,,," "," ",0.239,-4.888,"I "," ",CTIO," ",HIP  35091,108.85215,-77.0295
669,HIP  45940,45940," ",81639,G7 V,*,5532,4.5,1.0,-0.18," "," ",0.151,-5.07,"I "," ",CTIO," ",HIP  45940,140.52528,-73.54335
664,HIP  45571,45571," ",80671,F5 V Fe-0.7 CH-0.5," ",6618,4.05,1.8,-0.31," "," ",0.325,-4.323,"A "," ",CTIO," ",HIP  45571,139.32194,-68.68963
813,HIP  57092,57092," ",101805,F8 V," ",6278,4.26,1.0,0.14," "," ",0.158,-4.938,"I "," ",CTIO," ",HIP  57092,175.56217,-75.22731
752,HIP  52535,52535," ",93372,F6 V Fe+0.4," ",6380,4.27,1.9,0.01," "," ",0.217,-4.651,"A "," ",CTIO," ",HIP  52535,161.11234,-72.4435
822,HIP  57572,57572," ",102579,K1 V," ",5164,4.33,1.0,0.04," "," ",0.153,-5.125,VI," ",CTIO," ",HIP  57572,177.0091,-66.11489
823,HIP  57572,57572," ",102579B,K6.5 V (k)," ",,,,," "," ",1.259,-4.514,"A "," ",CTIO," ",HIP  57572,177.0091,-66.11489
784,HIP  55280,55280," ",98560,F5 V," ",6486,4.16,2.1,-0.06," "," ",0.212,-4.643,"A "," ",CTIO," ",HIP  55280,169.81847,-64.58249
791,HIP  55779,55779," ",99453,F7 V," ",6361,4.14,1.8,0.06," "," ",0.184,-4.768,"I "," ",CTIO," ",HIP  55779,171.42976,-63.97247
676,HIP  46422,46422," ",82282,K0.5 V (k)," ",5089,4.5,1.0,-0.16," "," ",0.426,-4.529,"A "," ",CTIO," ",HIP  46422,141.98995,-66.1023
689,HIP  47490,47490," ",309701,K3 V," ",,,,," "," ",0.312,-4.8,"I "," ",CTIO," ",HIP  47490,145.20293,-62.89122
730,HIP  51138,51138," ",307727,K6+ V (k)," ",,,,," "," ",0.761,-4.782,"I "," ",CTIO," ",HIP  51138,156.69814,-62.90258
699,HIP  48594,48594," ",86140,K2.5 V (k)," ",4788,4.67,1.0,-0.37," "," ",0.274,-4.829,"I "," ",CTIO," ",HIP  48594,148.64608,-58.72981
460,HIP  29271,29271," ",43834,G7 V," ",5500,4.42,1.0,-0.07," "," ",0.175,-4.94,"I "," ",CTIO," ",HIP  29271,92.56031,-74.75305
469,HIP  29964,29964," ",45081,K3.5 V ke," ",,,,," "," ",2.952,-3.755,VA,*,CTIO," ",HIP  29964,94.61754,-72.04485
464,HIP  29673,29673," ",44447,G0 V Fe-0.8 CH-0.3," ",5996,4.28,1.0,-0.29," "," ",0.17,-4.888,"I "," ",CTIO," ",HIP  29673,93.77508,-71.70276
497,HIP  31692,31692," ",48611,G9.5 V," ",5336,4.51,1.0,-0.25," "," ",0.168,-4.981,"I "," ",CTIO," ",HIP  31692,99.46072,-70.93261
616,HIP  41795,41795," "," ",K6.5 V (k)," ",,,,," "," ",1.479,-4.607,"A "," ",CTIO," ",HIP  41795,127.82566,-68.5895
630,HIP  42650,42650," "," ",K7- V ke," ",,,,," "," ",4.904,-4.224,"A "," ",CTIO," ",HIP  42650,130.38597,-68.42784
590,HIP  39342,39342," ",67199,K2 V (k)," ",,,,," "," ",0.23,-4.843,"I "," ",CTIO," ",HIP  39342,120.62995,-66.02094
487,HIP  31134,31134," ",47252,K0.5 V," ",5279,4.59,1.0,-0.23," "," ",0.16,-5.034,"I "," ",CTIO," ",HIP  31134,97.98639,-68.70986
531,HIP  34890,34890," ",56533,K6 V (k)," ",,,,," "," ",1.097,-4.656,"A "," ",CTIO," ",HIP  34890,108.27954,-63.34495
580,HIP  38558,38558," ",65216,G5 V," ",5620,4.52,1.0,-0.15," "," ",0.175,-4.92,"I "," ",CTIO," ",HIP  38558,118.42216,-63.64732
594,HIP  39903,39903," ",68456,F6 V Fe-0.8 CH-0.4," ",6467,3.97,2.0,-0.36," "," ",0.357,-4.286,"A "," ",CTIO," ",HIP  39903,122.25237,-61.30238
584,HIP  38908,38908," ",65907,F9.5 V," ",6000,4.45,1.0,-0.31," "," ",0.179,-4.846,"I "," ",CTIO," ",HIP  38908,119.44548,-60.30307
592,HIP  39611,39611," "," ",K6 V (k)," ",,,,," "," ",0.746,-4.92,"I "," ",CTIO," ",HIP  39611,121.41681,-59.4239
564,HIP  37563,37563," ",62850,G1 V CH-0.5," ",5860,4.38,1.0,0.08," "," ",0.347,-4.422,"A "," ",CTIO," ",HIP  37563,115.65026,-59.29743
570,HIP  37918,37918," ",63581,K0 IV-V (k)," ",5252,4.37,1.0,0.07," "," ",0.423,-4.427,"A "," ",CTIO," ",HIP  37918,116.56185,-59.81407
571,HIP  37923,37923," ",63608,K0 IV-V (k)," ",5250,4.56,1.0,-0.01," "," ",0.409,-4.455,"A "," ",CTIO," ",HIP  37923,116.57067,-59.8095
575,HIP  38179,38179," ",64184,G3 V," ",5627,4.43,1.0,-0.28," "," ",0.207,-4.787,"I "," ",CTIO," ",HIP  38179,117.36104,-59.38084
666,HIP  45749,45749," ",80883,K0.5 V," ",5173,4.51,1.0,-0.24," "," ",0.277,-4.696,"A "," ",CTIO," ",HIP  45749,139.93386,-59.47772
665,HIP  45637,45637," ",80545,K6.5 V (k)," ",,,,," "," ",0.587,-4.83,"I "," ",CTIO," ",HIP  45637,139.53699,-57.76887
696,HIP  48133,48133," ",85228,K2 V CN+0.5," ",5035,4.4,1.0,0.08," "," ",0.197,-4.949,"I "," ",CTIO," ",HIP  48133,147.19479,-52.61571
644,HIP  43797,43797," ",76653,F6 V," ",6500,4.08,2.2,-0.05," "," ",0.285,-4.444,"A "," ",CTIO," ",HIP  43797,133.79909,-54.96577
599,HIP  40438,40438," ",69655,G0- V," ",5957,4.38,1.0,-0.27," "," ",0.177,-4.861,"I "," ",CTIO," ",HIP  40438,123.85506,-52.0603
618,HIP  41847,41847," "," ",K6 V (k)," ",,,,," "," ",0.784,-4.736,"A "," ",CTIO," ",HIP  41847,127.98438,-50.18908
656,HIP  44811,44811," ",78747,G5 V Fe-1.6 CH-1," ",5833,4.42,1.0,-0.74," "," ",0.183,-4.825,"I "," ",CTIO," ",HIP  44811,136.98573,-50.48245
657,HIP  44821,44821," ",78746,K2.5 V," ",4800,4.6,1.0,-0.15," "," ",0.252,-4.905,"I "," ",CTIO," ",HIP  44821,137.00888,-49.44951
635,HIP  42914,42914," ",74885,G9 V," ",5322,4.55,1.0,-0.19," "," ",0.26,-4.685,"A "," ",CTIO," ",HIP  42914,131.17597,-48.67154
788,HIP  55691,55691," ",99279,K5- V," ",,,,," "," ",0.641,-4.921,"I "," ",CTIO," ",HIP  55691,171.16797,-61.64757
771,HIP  54348,54348," ",96673,K3+ V," ",4646,4.66,1.0,-0.12," "," ",0.381,-4.746,"A "," ",CTIO," ",HIP  54348,166.77981,-61.59507
764,HIP  53719,53719," ",95338,K1 IV-V," ",5041,4.43,1.0,0.04," "," ",0.147,-5.123,VI," ",CTIO," ",HIP  53719,164.8596,-56.62304
814,HIP  57172,57172," ",101930,K2 V+," ",,,,," "," ",0.157,-5.097,"I "," ",CTIO," ",HIP  57172,175.87547,-58.00688
795,HIP  56153,56153," ",304391,K3.5 V (k)," ",,,,," "," ",0.738,-4.506,"A "," ",CTIO," ",HIP  56153,172.6459,-57.13387
826,HIP  58106,58106," ",103493,G5 V Fe-0.7," ",5754,4.21,1.0,-0.04," "," ",0.214,-4.746,"A "," ",CTIO," ",HIP  58106,178.75558,-56.09598
787,HIP  55633,55633," ",99116,G8 V," ",5467,4.48,1.0,-0.14," "," ",0.165,-4.992,"I "," ",CTIO," ",HIP  55633,170.95903,-56.69484
721,HIP  50493,50493," ",89569,F6 V," ",6401,3.99,2.0,-0.12," "," ",0.217,-4.633,"A "," ",CTIO," ",HIP  50493,154.65795,-56.11039
740,HIP  51523,51523," ",91324,F9 V Fe-0.8 CH-0.7," ",6287,4.04,1.6,-0.17," "," ",0.186,-4.766,"I "," ",CTIO," ",HIP  51523,157.84092,-53.71548
734,HIP  51266,51266," ",90885,K0.5 V (k)," ",,,,," "," ",0.361,-4.55,"A "," ",CTIO," ",HIP  51266,157.07718,-52.56166
736,HIP  51271,51271," ",90884,K3.5 V (k)," ",,,,," "," ",0.796,-4.457,"A "," ",CTIO," ",HIP  51271,157.09812,-51.70526
763,HIP  53685,53685," ",95263,F9 V Fe-0.8 CH-0.7," ",6274,4.26,1.9,-0.29," "," ",0.205,-4.687,"A "," ",CTIO," ",HIP  53685,164.76867,-53.53919
755,HIP  52727,52727," ",93497,G6 III," ",,,,," "," ",0.146,-5.136,VI," ",CTIO," ",HIP  52727,161.69241,-49.42026
767,HIP  53837,53837," ",95521,G2 V," ",5793,4.5,1.0,-0.08," "," ",0.173,-4.917,"I "," ",CTIO,S,HIP  53837,165.20943,-49.01984
808,HIP  56715,56715," "," ",K6+ V," ",,,,," "," ",0.896,-4.808,"I "," ",CTIO," ",HIP  56715,174.42201,-48.62346
833,HIP  58380,58380," ",103975,F8.5 V Fe-0.5," ",6250,4.32,1.0,-0.05," "," ",0.175,-4.84,"I "," ",CTIO," ",HIP  58380,179.56503,-47.9771
811,HIP  56998,56998," ",101581,K4.5 V (k)," ",,,,," "," ",0.433,-4.759,"I "," ",CTIO," ",HIP  56998,175.26028,-44.40519
835,HIP  58401,58401," ",104006,K0.5 V," ",5116,4.7,1.0,-0.65," "," ",0.134,-5.189,VI," ",CTIO," ",HIP  58401,179.61672,-41.92201
812,HIP  57021,57021," ",101614,G0 V," ",5887,4.32,1.0,-0.32," "," ",0.181,-4.849,"I "," ",CTIO," ",HIP  57021,175.35934,-41.01826
