main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode
USNO-B1.0 0644-00098276,103.082346328266,-25.5806850364811,,,,,M9.2V,2014ApJ...794..143B,62.4449,0.1606,2018yCat.1345....0G,,,,17.4603,0.0016,2018yCat.1345....0G
1RXS J173353.5+165515,263.4715160226987,16.9202321714929,,,,,M6V,2014AJ....147...20N,62.3715,0.3905,2018yCat.1345....0G,14.38,0.06,2012yCat.1322....0Z,12.3987,0.0015,2018yCat.1345....0G
LP  535-12,66.5830854580482,3.6100484458588,,GJ  3289,,,M6.5V,1991ApJS...77..417K,62.3387,0.1654,2018yCat.1345....0G,,,,15.5722,7.0E-4,2018yCat.1345....0G
2MASS J20103539+0634367,302.647454351309,6.5768964908591,,,,,M8.5V,2012ApJ...760..152L,62.0119,0.1739,2018yCat.1345....0G,,,,17.1403,0.0015,2018yCat.1345....0G
LP  135-272,230.2543759476929,50.8896649393086,,,,,M7.5,2007AJ....133.2258S,61.9989,0.1,2018yCat.1345....0G,,,,16.3806,0.001,2018yCat.1345....0G
LP  591-156,44.0162414011923,-0.6091880308311,,,,,M5V,2005AJ....130.1871B,61.8463,0.0916,2018yCat.1345....0G,15.63,,2000MNRAS.318.1206C,13.7951,7.0E-4,2018yCat.1345....0G
G 238-55,208.2105277990422,66.8183350441141,,GJ  3815,,,M5V,2014AJ....147...20N,61.5297,0.0518,2018yCat.1345....0G,,,,13.9147,5.0E-4,2018yCat.1345....0G
LP  716-10,73.0167541288768,-10.9727825517112,,,,,M5.5,2002AJ....123.2828C,61.4306,0.3378,2018yCat.1345....0G,15.97,,,14.15,7.0E-4,2018yCat.1345....0G
G 222-2,63.5081301808958,82.2601172400956,,,,,M5V,2015ApJ...812....3W,61.2925,0.0588,2018yCat.1345....0G,,,,13.5516,5.0E-4,2018yCat.1345....0G
SSSPM J1444-2019,221.086143,-20.322853,,,,,M9.0VI:,2015AJ....149....5W,61.2,5.1,2012ApJ...752...56F,,,,16.6487,0.0019,2018yCat.1345....0G
SCR J0723-8015,110.9984206774582,-80.2550104232411,,,,,M6V,2004AJ....128.2460H,61.1931,0.091,2018yCat.1345....0G,17.41,,2008MNRAS.389..585C,15.0408,6.0E-4,2018yCat.1345....0G
LEHPM 2-783,304.9575551432051,-58.2786070451342,,,,,M6,2006AJ....132..866R,61.1781,0.1039,2018yCat.1345....0G,17.17,0.04,2014AJ....147...85R,14.6134,0.0014,2018yCat.1345....0G
LP  664-13,121.4039437062089,-9.5439905969756,,,,,M5,2013A&A...556A..15R,61.1002,0.0994,2018yCat.1345....0G,15.127,,2008MNRAS.389..585C,13.5467,4.0E-4,2018yCat.1345....0G
G 233-42,347.4910814066492,55.1131618182857,,,,,M5V,2014AJ....147...20N,61.0426,0.0734,2018yCat.1345....0G,,,,14.01,7.0E-4,2018yCat.1345....0G
G 100-50,89.7220486373486,21.3504357345341,,,,,M5.0V,2015A&A...577A.128A,60.7063,0.7668,2018yCat.1345....0G,15.222,0.05,2012yCat.1322....0Z,13.398,0.0014,2018yCat.1345....0G
LHS  2052,132.2861078724921,39.6073255091462,,,,,M5V,2014AJ....147...20N,60.6624,0.0733,2018yCat.1345....0G,,,,14.0229,4.0E-4,2018yCat.1345....0G
LP  548-37,147.3426347174361,8.1125302919852,,,,,M8.5V,2014ApJ...794..143B,60.5022,0.1978,2018yCat.1345....0G,,,,16.791,0.0023,2018yCat.1345....0G
SCR J0420-7005,65.0523086054436,-70.0996164400124,,,,,M6Ve,2004AJ....128.2460H,60.2906,0.0973,2018yCat.1345....0G,17.17,,2008MNRAS.389..585C,14.8388,0.001,2018yCat.1345....0G
LP  839-29,101.6711805922956,-21.8378051323586,,,,,M6Ve,2003AJ....126.3007R,59.9638,0.0653,2018yCat.1345....0G,16.38,,,14.8594,5.0E-4,2018yCat.1345....0G
LP  485-17,127.6357094274096,9.7876209461463,,,,,M7.5Ve,2004AJ....128.2460H,59.8986,0.1449,2018yCat.1345....0G,19.063,0.032,2006AJ....132.1234C,16.2362,0.0015,2018yCat.1345....0G
LP  684-33,242.7434603732548,-6.5257127790021,,,,,M5.5,,59.8416,0.1346,2018yCat.1345....0G,,,,15.0941,7.0E-4,2018yCat.1345....0G
LP  651-7,41.562148670635835,-4.989043683365556,,GJ  3180,,,M6,,59.6802,0.0937,2018yCat.1345....0G,16.22,,1995GCTP..C......0V,14.3287,8.0E-4,2018yCat.1345....0G
LP  695-372,310.688214982012,-5.0053273917716,,,,,M6.5,2004AJ....128..463R,59.6402,0.1001,2018yCat.1345....0G,17.43,,,15.1997,6.0E-4,2018yCat.1345....0G
2MASS J19253089+0938235,291.3787939974683,9.6398038765588,,,,,M8/9V,2014AJ....147...20N,59.4255,0.2898,2018yCat.1345....0G,,,,15.6734,0.0013,2018yCat.1345....0G
LP  702-50,348.9771100326965,-6.4628983299948,,,,,M5.5Ve,2003AJ....126.3007R,59.4126,0.0769,2018yCat.1345....0G,16.79,,,14.819,8.0E-4,2018yCat.1345....0G
LEHPM 2-183,79.4070767566122,-33.817520101053,,,,,M8.0V,2012AJ....144...99D,59.2738,0.1043,2018yCat.1345....0G,,,,16.506,0.0011,2018yCat.1345....0G
UCAC3 123-175263,229.2210806487534,-28.5378979170213,,,,,M5,2016ApJS..224...36K,59.2549,0.0885,2018yCat.1345....0G,,,,13.6684,6.0E-4,2018yCat.1345....0G
[BHR2005] 832-2,47.8144882431639,1.1085770428091,,,,,M5.5V,2005AJ....130.1871B,59.2031,0.111,2018yCat.1345....0G,,,,14.1995,8.0E-4,2018yCat.1345....0G
APMPM J2134-4316,323.5929087425855,-43.2696224082562,,,,,M5.5,,59.1089,0.0882,2018yCat.1345....0G,,,,14.2939,6.0E-4,2018yCat.1345....0G
