recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
1754,"HD 131156 ",35136,0.76,0.43,3.567,-4.398,0.04,8,0.29,K,HD 131156,222.84742,19.10047
1741,"HD 129814 ",72043,0.599,0.168,2.926,-4.924,0.07,18,5.2,K,HD 129814,221.04873,18.4621
1691,"HD 123613 ",69066,0.53,0.153,2.675,-5.003,0.77,,6.66,K,HD 123613,212.06471,21.19301
1722,"HD 126991 ",70761,0.8,0.15,4.265,-5.085,2.9,,8.19,K,HD 126991,217.06688,24.51754
1751,"HD 130948 ",72567,0.554,0.314,5.474,-4.434,-0.4,4,0.38,L,HD 130948,222.56588,23.91184
1776,"HD 133460 ",73700,0.518,0.198,3.451,-4.75,0.76,8,2.55,L,HD 133460,225.95536,26.03874
1800,"HD 136274 ",74954,0.737,0.155,2.217,-5.046,0.0,,7.47,K,HD 136274,229.74608,25.69171
1808,"HD 136654 ",75104,0.58,0.157,2.735,-4.989,0.65,17,6.4,L,HD 136654,230.20866,31.48011
1099,"HIP 73302 ",73302,0.79,0.157,2.23,-5.048,0.01,,7.51,K,HIP 73302,224.70379,37.23409
1865,"HD 143291 ",78241,0.77,0.182,2.353,-4.927,-0.4,37,5.26,K,HD 143291,239.63345,27.73999
1864,"HD 143174 ",78161,0.655,0.238,4.122,-4.67,0.06,15,1.69,K,HD 143174,239.40455,32.40903
1868,"HD 143761 ",78459,0.61,0.15,2.595,-5.052,0.35,,7.57,K,HD 143761,240.26109,33.30351
1875,"HD 145224 ",79068,0.644,0.235,4.064,-4.673,0.07,15,1.73,K,HD 145224,242.11221,33.73308
1923,"HD 149750 ",81210,0.666,0.162,2.803,-4.986,0.85,28,6.34,K,HD 149750,248.81101,37.02213
1889,HD 146362B,,0.64,0.244,4.215,-4.646,-0.2,13,1.48,K,GJ 9550 B,243.66831,33.85751
1893,"HD 147044 ",79862,0.59,0.167,2.899,-4.931,-0.3,17,5.32,L,HD 147044,244.52449,34.48276
1917,"HD 149026 ",80838,0.611,0.152,2.645,-5.03,0.87,,7.17,K,HD 149026,247.62342,38.34731
2001,"HD 157214 ",84862,0.61,0.158,2.738,-4.993,0.0,21,6.47,K,HD 157214,260.16486,32.46769
1977,"HD 155060 ",83827,0.512,0.151,2.642,-5.008,-0.5,,6.76,L,HD 155060,256.98262,32.10549
1978,"HD 155358 ",83949,0.545,0.164,2.87,-4.931,0.01,12,5.32,L,HD 155358,257.39424,33.35586
2025,"HD 159222 ",85810,0.65,0.173,3.0,-4.917,0.1,24,5.07,K,HD 159222,263.00414,34.27115
2011,"HD 157853 ",85149,0.716,0.323,4.914,-4.52,4.81,13,0.69,L,HD 157853,261.00939,38.58278
2031,"HD 160245 ",86234,0.551,0.174,3.051,-4.871,0.59,12,4.3,L,HD 160245,264.33705,35.79911
2035,"HD 160693 ",86431,0.6,0.176,3.057,-4.882,-0.2,17,4.48,K,HD 160693,264.90364,37.18375
2059,"HD 163589 ",87691,0.727,0.152,4.251,-5.064,1.61,,7.79,K,HD 163589,268.66692,45.55413
1949,"HD 151877 ",82267,0.82,0.224,2.556,-4.818,0.0,34,3.46,K,HD 151877,252.14798,37.01337
1959,"HD 152792 ",82636,0.72,0.147,4.23,-5.095,1.85,,8.36,K,HD 152792,253.3847,42.82486
1970,"HD 154325 ",83398,0.666,0.182,3.141,-4.883,0.49,24,4.5,K,HD 154325,255.67493,44.6369
1971,"HD 154345 ",83389,0.76,0.205,2.466,-4.836,0.0,31,3.74,K,HD 154345,255.65168,47.08188
2023,"HD 159062 ",85653,0.737,0.17,2.291,-4.966,-0.1,36,5.97,K,HD 159062,262.56844,47.4022
1830,"HD 139324 ",76398,0.58,0.172,2.992,-4.897,0.45,15,4.73,L,HD 139324,234.05276,35.70539
1871,"HD 144579 ",78775,0.73,0.166,2.269,-4.985,-0.5,36,6.32,K,HD 144579,241.23664,39.15651
1858,"HD 142373 ",77760,0.56,0.16,2.795,-4.962,0.6,14,5.9,L,HD 142373,238.16892,42.45152
1822,"HD 138004 ",75676,0.67,0.205,3.551,-4.787,0.0,21,3.03,K,HD 138004,231.91806,42.88138
1837,"HD 139907 ",76641,0.658,0.17,2.936,-4.939,0.68,26,5.48,K,HD 139907,234.76331,43.86651
1818,"HD 137664 ",75508,0.615,0.183,4.341,-4.855,1.89,18,4.02,K,HD 137664,231.37266,45.9477
1816,"HD 137629 ",75479,0.607,0.159,4.247,-4.982,1.62,20,6.27,L,HD 137629,231.28333,47.06082
1838,"HD 140025 ",76704,0.771,0.315,4.901,-4.578,2.55,18,1.0,K,HD 140025,234.93843,44.31119
1847,"HD 141399 ",77301,0.77,0.161,2.25,-5.022,1.09,,7.01,K,HD 141399,236.72423,46.98626
1165,"HIP 79308 ",79308,0.714,0.203,2.449,-4.819,-0.1,26,3.47,K,HIP 79308,242.78516,47.54233
1836,"HD 139906 ",76594,0.847,0.186,4.416,-4.953,5.37,42,5.73,L,HD 139906,234.64248,50.42329
2605,"HD 234314 ",80999,0.742,0.167,2.277,-4.983,1.19,37,6.28,K,HD 234314,248.13216,50.18425
1939,"HD 151044 ",81800,0.503,0.172,2.996,-4.869,-0.3,8,4.26,L,HD 151044,250.61588,49.93644
2019,"HD 158259 ",85268,0.619,0.202,3.505,-4.772,0.3,16,2.82,K,HD 158259,261.35023,52.79068
2060,"HD 163607 ",87601,0.777,0.164,4.313,-5.009,1.75,,6.77,K,HD 163607,268.41873,56.39196
1951,"HD 152125 ",82268,0.699,0.179,3.105,-4.91,0.29,29,4.96,K,HD 152125,252.15034,55.12936
1944,"HD 151522 ",81946,0.711,0.285,4.765,-4.591,2.66,16,1.08,K,HD 151522,251.0859,59.96362
2067,"HD 164330 ",87815,0.71,0.18,4.355,-4.912,2.04,30,4.99,K,HD 164330,269.08375,62.61006
1656,"HD 118914 ",66621,0.66,0.148,2.555,-5.079,0.36,,8.07,K,HD 118914,204.83846,31.77416
1603,"HD 114710 ",64394,0.57,0.222,3.859,-4.679,-0.1,10,1.78,L,HD 114710,197.96831,27.87818
1577,"HD 112257 ",63048,0.65,0.185,3.193,-4.862,0.1,22,4.14,K,HD 112257,193.78444,27.76636
1641,"HD 117846 ",66042,0.76,0.219,4.523,-4.792,5.16,29,3.09,L,HD 117846,203.0917,36.81817
1714,"HD 126532 ",70500,0.853,0.202,2.428,-4.906,0.01,41,4.89,K,HD 126532,216.32242,32.79111
1724,"HD 127334 ",70873,0.65,0.151,2.619,-5.05,0.29,,7.53,K,HD 127334,217.40337,41.79591
