main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
Ross 1051,226.0770993410453,60.3845872746099,,GJ  3890,HIP  73734,,M1V,1995AJ....110.1838R,58.4575,0.0296,2018yCat.1345....0G,10.93,0.07,2000A&A...355L..27H,10.1114,5.0E-4,2018yCat.1345....0G,9.2,,2003AJ....125..984M,10.1,,2003AJ....125..984M
G   5-32,50.843410235219,11.6870449098906,,GJ  3221,,,M3.5V,2013AJ....145..102L,58.4512,0.0864,2018yCat.1345....0G,12.202,0.02,2012yCat.1322....0Z,11.0988,0.0022,2018yCat.1345....0G,9.6,,2003AJ....125..984M,11.84,0.05,2012yCat.1322....0Z
Wolf  944,326.7343455346276,46.6350633557463,,GJ  4219,,,M3.5,1985ApJS...59..197B,58.4369,0.0406,2018yCat.1345....0G,13.45,,2001KFNT...17e.409K,12.0898,6.0E-4,2018yCat.1345....0G,10.5,,2003AJ....125..984M,13.065,0.07,2012yCat.1322....0Z
G  43-2,147.2091681549979,15.6457978458902,,,,,M3.0V,2015A&A...577A.128A,58.349,0.0618,2018yCat.1345....0G,13.245,0.02,2012yCat.1322....0Z,12.0461,5.0E-4,2018yCat.1345....0G,,,,12.84,0.11,2012yCat.1322....0Z
UCAC4 294-197036,278.8397398116039,-31.393978611315,,,,,M4e,2014MNRAS.443.2561G,58.2447,0.0807,2018yCat.1345....0G,,,,11.6112,0.0011,2018yCat.1345....0G,,,,12.735,0.06,2012yCat.1322....0Z
G 217-60,9.828899497013,55.13695174251,,,,,M3.5,1997PASP..109..849G,58.2398,0.0652,2018yCat.1345....0G,14.17,,1995GCTP..C......0V,12.8956,4.0E-4,2018yCat.1345....0G,11.4,,2003AJ....125..984M,13.4,,2003AJ....125..984M
G 235-55,151.9972204553603,69.2460282040492,,GJ  1131,,,M4,2004AJ....128..463R,58.2151,0.0562,2018yCat.1345....0G,14.33,,,13.0083,4.0E-4,2018yCat.1345....0G,11.54,,2004AJ....128..463R,13.12,,2004AJ....128..463R
L   88-43,28.4042300938193,-66.8927079949804,,,,,M3,2014MNRAS.443.2561G,58.1773,0.2053,2018yCat.1345....0G,11.675,0.01,2012yCat.1322....0Z,10.5959,5.0E-4,2018yCat.1345....0G,,,,11.351,0.02,2012yCat.1322....0Z
BD+81   465,212.0540892037149,80.5972756116989,,GJ   540,HIP  69064,,M3V,1986AJ.....92..139S,58.1724,0.0302,2018yCat.1345....0G,10.34,0.04,2000A&A...355L..27H,9.5195,9.0E-4,2018yCat.1345....0G,8.9,,2003AJ....125..984M,9.6,,2003AJ....125..984M
Ross  555,27.9528612330541,-10.8034687411031,,GJ    78,HIP   8691,,M3.5,1985ApJS...59..197B,58.1554,0.0521,2018yCat.1345....0G,11.791,,2010MNRAS.403.1949K,10.857,0.0013,2018yCat.1345....0G,9.585,,2010MNRAS.403.1949K,10.786,,2010MNRAS.403.1949K
L  597-18,100.9194179648691,-26.41138058107,,,,,M3,2014MNRAS.443.2561G,58.0427,0.04,2018yCat.1345....0G,12.866,0.05,2012yCat.1322....0Z,11.6965,5.0E-4,2018yCat.1345....0G,,,,12.581,0.07,2012yCat.1322....0Z
G  77-46,50.445513049911,-6.6733937093117,,GJ  3218,,,M2V,1986AJ.....92..139S,58.04,0.0515,2018yCat.1345....0G,11.314,0.02,2012yCat.1322....0Z,10.352,7.0E-4,2018yCat.1345....0G,9.47,,2004AJ....128..463R,10.981,0.03,2012yCat.1322....0Z
UCAC4 226-198878,331.6695611633834,-44.9687582618718,,,,,M4.0,2007AJ....133.2825R,58.0221,0.202,2018yCat.1345....0G,14.433,0.04,2012yCat.1322....0Z,12.9188,0.0012,2018yCat.1345....0G,,,,13.997,0.2,2012yCat.1322....0Z
L  460-126,133.3693741839999,-39.4113805490915,,,,,M3,2014MNRAS.443.2561G,57.9253,0.0541,2018yCat.1345....0G,12.29,0.03,2012yCat.1322....0Z,11.2093,0.0012,2018yCat.1345....0G,8.34,,2011AJ....142...10B,11.878,0.03,2012yCat.1322....0Z
UCAC4 576-020498,88.2575888136299,25.1288014136813,,,,,M3.0Ve,2013AJ....145..102L,57.9007,0.0644,2018yCat.1345....0G,12.39,0.06,2012yCat.1322....0Z,11.2399,0.001,2018yCat.1345....0G,9.8,,2003AJ....125..984M,11.955,0.07,2012yCat.1322....0Z
LP  925-37,295.9658280793939,-32.4011271884578,,,,,M2,2014MNRAS.443.2561G,57.8959,0.0367,2018yCat.1345....0G,11.689,0.01,2012yCat.1322....0Z,10.6788,4.0E-4,2018yCat.1345....0G,9.372,,2008MNRAS.389..585C,11.276,0.04,2012yCat.1322....0Z
L  591-70,69.2342985969244,-29.0577023769781,,GJ  3303,,,M3.5,1985ApJS...59..197B,57.8847,0.0427,2018yCat.1345....0G,13.693,0.02,2012yCat.1322....0Z,12.4544,3.0E-4,2018yCat.1345....0G,11.05,,2008MNRAS.389..585C,13.405,0.05,2012yCat.1322....0Z
UCAC4 165-010151,107.4069015482485,-57.0617031288434,,,,,M4,,57.879,0.0669,2018yCat.1345....0G,13.65,0.02,2012yCat.1322....0Z,12.1912,4.0E-4,2018yCat.1345....0G,,,,13.315,0.12,2012yCat.1322....0Z
G 136-72,227.52007001645376,19.357633988833335,,GJ  3893,,,M4.27,2015ApJ...802L..10T,57.8644,0.0862,2018yCat.1345....0G,13.419,0.03,2012yCat.1322....0Z,12.0326,5.0E-4,2018yCat.1345....0G,10.4,,2003AJ....125..984M,13.031,0.09,2012yCat.1322....0Z
LTT  8096,306.9056274716826,-54.8831146370383,,,,,M4,2014MNRAS.443.2561G,57.7752,0.0654,2018yCat.1345....0G,,,,11.5528,0.001,2018yCat.1345....0G,,,,12.363,0.06,2012yCat.1322....0Z
Wolf 1450,82.4667589113033,-3.4416857077053002,,"GJ   204.2,GJ  9182",,,M3,2014MNRAS.443.2561G,57.7585,0.0767,2018yCat.1345....0G,12.051,0.02,2012yCat.1322....0Z,10.94,0.0015,2018yCat.1345....0G,9.6,,2008MNRAS.389..585C,11.675,0.06,2012yCat.1322....0Z
G  21-13,276.0216181112958,1.6878183545460002,,GJ  4056,,,M2.5Ve,2013AJ....145..102L,57.6593,0.0418,2018yCat.1345....0G,11.863,0.03,2012yCat.1322....0Z,10.862,5.0E-4,2018yCat.1345....0G,9.6,,2003AJ....125..984M,11.461,0.02,2012yCat.1322....0Z
UCAC4 501-008649,72.1974697791044,10.0507393329107,,,,,M3.0V,2013AJ....145..102L,57.6443,0.2221,2018yCat.1345....0G,12.087,0.03,2012yCat.1322....0Z,10.9124,7.0E-4,2018yCat.1345....0G,,,,11.735,0.05,2012yCat.1322....0Z
CD-36   491,19.3142039975576,-35.7158925433321,,GJ  1036,HIP   6005,,M2.5V,2006AJ....132..161G,57.485,0.0402,2018yCat.1345....0G,11.284,,2010MNRAS.403.1949K,10.3101,6.0E-4,2018yCat.1345....0G,9.05,,2010MNRAS.403.1949K,10.264,,2010MNRAS.403.1949K
LP  768-712,26.7820157529502,-14.412247350622,,,,,M3.0,2005A&A...442..211S,57.4283,0.0743,2018yCat.1345....0G,13.217,0.03,2012yCat.1322....0Z,11.9945,6.0E-4,2018yCat.1345....0G,10.605,,2008MNRAS.389..585C,12.851,0.07,2012yCat.1322....0Z
V* CQ Tuc,1.5799386775935,-65.8405326816446,,GJ  3006,HIP    523,,M4V,1974PhDT........10S,57.3441,0.0663,2018yCat.1345....0G,12.174,,2010MNRAS.403.1949K,11.1029,0.0016,2018yCat.1345....0G,9.781,,2010MNRAS.403.1949K,11.106,,2010MNRAS.403.1949K
2MASS J20333668-2120096,308.4028154705292,-21.3361404760248,,,,,M2.0,2007AJ....133.2825R,57.3319,0.1129,2018yCat.1345....0G,,,,11.4625,0.0014,2018yCat.1345....0G,,,,11.57,,2007AJ....133.2825R
BD+45  2688,274.129526524418,45.557853335804,,GJ   709,HIP  89560,,M0V,1986AJ.....92..139S,57.3252,0.0203,2018yCat.1345....0G,10.257,0.04,2012yCat.1322....0Z,9.5131,4.0E-4,2018yCat.1345....0G,8.9,,2003AJ....125..984M,9.767,0.02,2012yCat.1322....0Z
Ross 1063,293.4143426607819,39.5268390119918,,GJ  4113,,,M2V,1986AJ.....92..139S,57.2855,0.1081,2018yCat.1345....0G,11.39,0.12,2000A&A...355L..27H,10.6886,5.0E-4,2018yCat.1345....0G,9.39,,2004AJ....128..463R,11.175,0.04,2012yCat.1322....0Z
LP  455-12,304.6856654970532,15.8461781016914,,GJ  4143,,,M2.5Ve,2013AJ....145..102L,57.2656,0.0452,2018yCat.1345....0G,11.751,0.01,2012yCat.1322....0Z,10.7592,6.0E-4,2018yCat.1345....0G,9.5,,2003AJ....125..984M,11.319,0.04,2012yCat.1322....0Z
Ross   19,34.7625378120192,35.3551672971359,,GJ    94,,,M3.5Ve,2013AJ....145..102L,57.2495,0.0871,2018yCat.1345....0G,12.562,0.08,2012yCat.1322....0Z,11.3954,7.0E-4,2018yCat.1345....0G,9.9,,2003AJ....125..984M,12.25,0.07,2012yCat.1322....0Z
G 224-57,228.6939362,64.5626495,,,,,M3.5V,2015A&A...577A.128A,57.2,0.9,2014ApJ...784..156D,14.06,0.05,2012yCat.1322....0Z,12.7303,0.002,2018yCat.1345....0G,11.2,,2004AJ....128..463R,13.65,0.13,2012yCat.1322....0Z
LP  831-68,49.1992241116237,-21.4239093076379,,,,,M1.5,2004AJ....128..463R,57.1901,0.0452,2018yCat.1345....0G,11.04,0.02,2012yCat.1322....0Z,10.071,0.001,2018yCat.1345....0G,,,,10.72,0.02,2012yCat.1322....0Z
UCAC4 704-119624,358.7353315194577,50.6041154567599,,,,,M3.0Ve,2013AJ....145..102L,57.1707,0.0453,2018yCat.1345....0G,,,,11.5424,9.0E-4,2018yCat.1345....0G,,,,12.296,0.06,2012yCat.1322....0Z
GSC 04160-00286,179.4575278975229,66.5622307913217,,,,,M4.0,2007AJ....133.2825R,57.0103,0.0515,2018yCat.1345....0G,15.0,,,13.4258,6.0E-4,2018yCat.1345....0G,,,,13.83,,2007AJ....133.2825R
L   63-18,133.7697485067677,-71.5966590692355,,GJ  3521,,,M3.5,,56.9846,0.0533,2018yCat.1345....0G,14.5,,,13.1136,6.0E-4,2018yCat.1345....0G,,,,,,
L  671-20,106.8455052085331,-21.4575851769122,,GJ  2055,HIP  34361,,M2V:,2010MNRAS.403.1949K,56.9825,0.0389,2018yCat.1345....0G,11.081,,2010MNRAS.403.1949K,10.1364,4.0E-4,2018yCat.1345....0G,8.867,,2010MNRAS.403.1949K,10.092,,2010MNRAS.403.1949K
G   8-31,65.746922492245,25.9873015739779,,,,,M4.0V,2015A&A...577A.128A,56.9815,0.0589,2018yCat.1345....0G,14.13,0.01,2012yCat.1322....0Z,12.7135,3.0E-4,2018yCat.1345....0G,11.2,,2003AJ....125..984M,14.068,0.06,2012yCat.1322....0Z
Ross  588,56.9920760781174,2.7878194806941,,"GJ  9133,GJ   155.1",HIP  17743,,M0V,1986AJ.....92..139S,56.9576,0.0453,2018yCat.1345....0G,11.044,,2010MNRAS.403.1949K,10.2273,4.0E-4,2018yCat.1345....0G,9.059,,2010MNRAS.403.1949K,10.086,,2010MNRAS.403.1949K
L   87-2,14.3020079166605,-64.2566501693408,,,,,M4e,2014MNRAS.443.2561G,56.9575,0.0367,2018yCat.1345....0G,12.398,0.037,2014AJ....148...81M,11.1946,8.0E-4,2018yCat.1345....0G,,,,12.142,0.06,2012yCat.1322....0Z
LP  932-81,342.1599424019474,-31.1446425593403,,,,,M3,2014MNRAS.443.2561G,56.9462,0.6167,2018yCat.1345....0G,12.356,0.01,2012yCat.1322....0Z,11.1731,0.0014,2018yCat.1345....0G,9.804,,2008MNRAS.389..585C,12.006,0.07,2012yCat.1322....0Z
Wolf  534,214.7958915788283,-7.30330805563,,"GJ  9478,GJ   543",,,M3,1985ApJS...59..197B,56.8905,0.0825,2018yCat.1345....0G,13.38,,1995GCTP..C......0V,12.3341,6.0E-4,2018yCat.1345....0G,,,,13.178,0.1,2012yCat.1322....0Z
