recno,HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,_RA,_DE
1904,64979,7500,255,4.04,0.14,,,426,533,854,307,1222,68,65,1413,95,1170,1.55,1.54,1.52,1.5,1.6,68,1.4,1.7,95,1.68,199.76771,35.12798
1958,66257,6569,223,3.61,0.14,,,1360,1643,2144,803,4485,68,178,6879,95,1583,1.2,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.78,203.6992,37.18242
1955,66223,8097,275,4.39,0.14,,,450,563,739,361,1033,68,82,1259,95,21,1.71,1.7,1.66,1.6,1.8,68,1.5,1.9,95,1.69,203.5911,38.78926
1949,66135,6610,225,4.34,0.14,,,1209,1479,1967,729,3548,68,158,5788,95,461,1.24,1.24,1.24,1.1,1.3,68,1.1,1.4,95,1.29,203.36023,39.93367
2080,70338,6790,231,4.15,0.14,,,1720,1832,1804,1397,2513,68,649,4467,95,1716,1.42,1.41,1.38,1.3,1.5,68,1.2,1.7,95,1.39,215.86398,37.20655
2020,68576,6301,214,3.89,0.14,,,3302,3548,3117,2414,5368,65,1587,7573,94,2844,1.24,1.22,1.18,1.1,1.3,68,1.0,1.5,95,1.42,210.58509,36.11185
2037,69184,6968,237,4.37,0.14,,,749,972,1353,516,2054,68,103,2738,95,33,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.39,212.43537,37.33005
2057,69735,6823,232,4.27,0.14,,,1579,1743,1753,1259,2661,68,447,4870,95,833,1.39,1.39,1.38,1.3,1.5,68,1.2,1.6,95,1.36,214.10114,39.74471
2115,71777,6373,217,4.1,0.14,,,2664,3073,2859,2047,5247,68,729,7499,95,2881,1.21,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.3,220.24233,38.1507
2094,71075,7891,268,3.82,0.14,,,706,866,904,677,1128,68,224,1296,95,895,1.73,1.71,1.66,1.6,1.8,68,1.5,2.0,95,2.03,218.01947,38.30825
2132,72153,6455,219,4.09,0.14,,,2795,2790,2476,1995,4217,68,1413,6494,95,2595,1.3,1.29,1.24,1.2,1.4,68,1.1,1.6,95,1.34,221.37368,42.38246
2085,70685,6887,234,4.23,0.14,,,1612,1692,1655,1364,2178,68,708,3073,95,1099,1.48,1.47,1.44,1.3,1.6,68,1.2,1.7,95,1.39,216.86452,41.02491
2127,72066,7391,251,4.27,0.14,,,591,757,1075,463,1447,68,97,1728,95,406,1.53,1.52,1.49,1.4,1.6,68,1.4,1.7,95,1.52,221.11756,45.18598
2110,71618,10176,346,4.4,0.14,86,0,142,171,248,97,387,68,24,501,95,8,2.25,2.24,2.22,2.1,2.4,68,1.9,2.6,95,2.32,219.70928,44.4045
1992,67483,7726,263,4.25,0.14,,,383,480,739,282,1076,68,60,1223,95,527,1.6,1.6,1.58,1.5,1.7,68,1.5,1.7,95,1.6,207.43719,36.63282
1985,67194,7953,270,4.27,0.14,,,404,507,718,299,1029,68,65,1259,95,417,1.66,1.65,1.63,1.6,1.7,68,1.5,1.9,95,1.65,206.55644,41.08874
1993,67529,6826,232,3.88,0.14,,,852,1090,1518,546,2371,68,109,3447,95,1675,1.33,1.33,1.32,1.3,1.4,68,1.2,1.5,95,1.62,207.53373,42.55727
2056,69732,9104,310,4.15,0.14,113,0,204,259,381,150,546,68,35,649,95,469,1.96,1.96,1.94,1.9,2.0,68,1.8,2.2,95,2.06,214.09591,46.08831
2031,68811,6922,235,4.26,0.14,,,890,1127,1475,649,2175,68,130,2901,95,773,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.4,211.31573,46.5917
2082,70447,6521,222,3.95,0.14,,,2597,2710,2476,1778,4732,68,944,7499,95,2306,1.28,1.27,1.21,1.1,1.4,68,1.0,1.5,95,1.46,216.16194,47.83048
2060,69862,6314,215,3.52,0.14,,,2385,2985,3302,1830,6131,68,434,7943,95,1746,1.16,1.15,1.13,1.1,1.2,68,1.0,1.3,95,1.74,214.455,48.002
2035,69040,6834,232,4.29,0.14,,,970,1212,1608,668,2512,68,130,3652,95,569,1.34,1.34,1.32,1.3,1.4,68,1.2,1.5,95,1.37,211.98528,48.2108
1987,67301,17448,593,4.38,0.14,158,0,44,48,49,44,54,68,24,56,95,1,5.7,5.65,5.54,5.2,6.0,68,5.0,6.5,95,5.61,206.88516,49.31327
2059,69818,9542,324,4.16,0.14,81,0,273,336,416,237,531,68,65,613,95,382,2.15,2.14,2.11,2.0,2.3,68,1.9,2.4,95,2.19,214.33808,51.30737
2053,69713,7976,271,4.34,0.14,,,429,562,783,345,1000,68,75,1155,95,19,1.68,1.67,1.63,1.6,1.7,68,1.5,1.8,95,1.64,214.04137,51.36723
2047,69483,7814,266,3.94,0.14,,,936,969,958,844,1138,68,649,1334,95,1004,1.83,1.82,1.77,1.6,2.0,68,1.6,2.2,95,1.87,213.37086,51.78997
2046,69481,7814,266,3.94,0.14,,,434,523,718,266,1189,68,53,1830,95,1004,1.58,1.59,1.58,1.5,1.7,68,1.3,1.8,95,1.87,213.36586,51.78785
1834,62972,8014,272,4.24,0.14,,,859,882,879,762,1042,68,596,1223,95,534,1.9,1.89,1.86,1.7,2.0,68,1.6,2.2,95,1.68,193.55452,33.53448
1838,63125,7089,241,4.39,0.14,,,825,1011,1277,530,2168,68,103,3447,95,31,1.4,1.4,1.41,1.3,1.5,68,1.2,1.6,95,1.42,194.00694,38.31838
1804,61779,6402,218,4.23,0.14,,,2737,2639,2476,1838,3239,60,1522,5381,95,2695,1.41,1.41,1.41,1.2,1.5,68,1.1,1.7,95,1.22,189.93771,35.08687
1796,61619,6281,214,4.01,0.14,,,2763,3350,3600,2113,6494,68,688,8913,95,3027,1.16,1.15,1.1,1.0,1.2,68,1.0,1.3,95,1.35,189.41303,38.68437
1880,64246,7268,247,4.27,0.14,,,657,866,1172,516,1585,68,109,1939,95,405,1.49,1.49,1.46,1.4,1.6,68,1.3,1.7,95,1.49,197.5134,38.49898
1893,64692,8048,274,4.09,0.14,,,366,473,678,275,964,68,60,1122,95,852,1.69,1.68,1.66,1.6,1.8,68,1.5,1.9,95,1.8,198.88314,40.8552
1768,61010,6375,217,4.12,0.14,,,1954,2402,2943,1372,5464,68,307,7499,95,3053,1.17,1.17,1.15,1.1,1.2,68,1.0,1.3,95,1.28,187.55215,39.24709
1802,61692,8088,275,4.27,0.14,,,522,654,806,470,1009,68,115,1122,95,372,1.74,1.73,1.69,1.6,1.8,68,1.6,1.9,95,1.68,189.69282,40.87466
1740,60467,6878,234,3.35,0.14,,,1041,1300,1562,772,2441,68,154,3548,95,930,1.37,1.37,1.35,1.3,1.5,68,1.2,1.5,95,2.17,185.94588,42.54274
1706,59405,6610,225,4.3,0.14,,,1456,1749,2083,891,4340,68,205,6879,95,1158,1.23,1.23,1.21,1.1,1.3,68,1.0,1.4,95,1.28,182.79048,39.1302
1713,59651,6399,218,4.14,0.14,,,2961,2876,2623,2082,4136,68,1662,5903,95,2957,1.34,1.32,1.21,1.2,1.5,68,1.1,1.6,95,1.27,183.5042,42.15495
1821,62172,5653,192,1.85,0.14,,,4487,5482,7392,4723,9034,68,2512,8913,95,71,1.06,1.04,5.5,1.0,1.1,68,1.0,1.2,95,5.9,191.11291,44.10301
1912,65135,6586,224,4.29,0.14,,,1281,1548,2024,750,4217,68,163,6683,95,1337,1.21,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.28,200.21254,43.99019
1951,66181,7058,240,4.37,0.14,,,1183,1380,1433,1026,2074,68,290,2818,95,31,1.47,1.46,1.44,1.4,1.6,68,1.3,1.7,95,1.41,203.46533,45.59964
1947,66090,5987,204,3.79,0.14,,,2751,3458,5085,2244,7507,68,579,8913,95,3239,1.09,1.08,5.5,1.0,1.1,68,1.0,1.2,95,1.39,203.21467,49.14008
1956,66234,8285,282,3.97,0.14,,,310,383,554,224,841,68,49,1029,95,804,1.74,1.73,1.72,1.6,1.8,68,1.5,1.9,95,1.99,203.61358,49.01597
1902,64906,11036,375,4.05,0.14,96,0,201,236,262,192,307,68,75,335,95,263,2.73,2.71,2.67,2.5,2.9,68,2.4,3.1,95,2.8,199.56046,49.68206
1901,64890,6476,220,4.37,0.14,,,1917,2286,2548,1372,4732,68,335,6879,95,452,1.22,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.24,199.51967,50.44633
1980,67005,10309,350,4.24,0.14,111,0,118,142,214,84,325,68,21,376,95,202,2.32,2.31,2.28,2.2,2.4,68,2.1,2.5,95,2.36,205.97824,52.06441
